Company,Ticker,Sector,Sub-Industry
Garmin,GRMN,Consumer Discretionary,Consumer Electronics
Gates,GTES,Industrials,
GE,GE,Industrials,Industrial Conglomerates
GE HealthCare,GEHC,Health Care,
Gen Digital,GEN,Information Technology,Application Software
Generac,GNRC,Industrials,Electrical Components & Equipment
General Dynamics,GD,Industrials,Aerospace & Defense
General Mills,GIS,Consumer Staples,Packaged Foods & Meats
General Motors,GM,Consumer Discretionary,Automobile Manufacturers
Genpact,G,Information Technology,IT Consulting & Other Services
Genuine Parts,GPC,Consumer Discretionary,Specialty Stores
Ginkgo Bioworks,DNA,Materials,
Global Payments,GPN,Financials,Transaction & Payment Processing Services
GlobalFoundries,GFS,Information Technology,
Globe Life,GL,Financials,Life & Health Insurance
GoDaddy,GDDY,Information Technology,
Goldman Sachs,GS,Financials,Investment Banking & Brokerage
Grand Canyon Education,LOPE,Consumer Discretionary,Education Services
Grocery Outlet,GO,Consumer Staples,Food Retail
Halliburton,HAL,Energy,Oil & Gas Equipment & Services
Hanesbrands,HBI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Hanover Insurance,THG,Financials,Property & Casualty Insurance
Hartford (The),HIG,Financials,Property & Casualty Insurance
Hasbro,HAS,Consumer Discretionary,Leisure Products
Hawaiian Electric Industries,HE,Utilities,Electric Utilities
Healthcare Realty Trust,HR,Real Estate,
Healthpeak,PEAK,Real Estate,Health Care REITs
Jack Henry & Associates,JKHY,Financials,Transaction & Payment Processing Services
Hertz,HTZ,Industrials,
Hess,HES,Energy,Integrated Oil & Gas
Hewlett Packard Enterprise,HPE,Information Technology,"Technology Hardware, Storage & Peripherals"
Hexcel,HXL,Industrials,Aerospace & Defense
HF Sinclair,DINO,Energy,Oil & Gas Refining & Marketing
Highwoods Properties,HIW,Real Estate,
Home Depot,HD,Consumer Discretionary,Home Improvement Retail
Honeywell,HON,Industrials,Industrial Conglomerates
Horizon,HZNP,Health Care,
Hormel Foods,HRL,Consumer Staples,Packaged Foods & Meats
Host Hotels & Resorts,HST,Real Estate,Hotel & Resort REITs
Howard Hughes Corporation,HHC,Real Estate,
Howmet Aerospace,HWM,Industrials,Aerospace & Defense
Hudson Pacific Properties,HPP,Financials,Office REITs
Humana,HUM,Health Care,Managed Health Care
Huntington,HBAN,Financials,Regional Banks
Huntington Ingalls Industries,HII,Industrials,Aerospace & Defense
Hyatt Hotels,H,Consumer Discretionary,
IAC,IAC,Communication Services,
IBM,IBM,Information Technology,IT Consulting & Other Services
Idacorp,IDA,Utilities,Electric Utilities
Idexx Laboratories,IDXX,Health Care,Health Care Equipment
Illinois Tool Works,ITW,Industrials,Industrial Machinery & Supplies & Components
Illumina,ILMN,Health Care,Life Sciences Tools & Services
Informatica,INFA,Information Technology,
Ingersoll Rand,IR,Industrials,Industrial Machinery & Supplies & Components
Intel,INTC,Information Technology,Semiconductors
Interactive Brokers,IBKR,Financials,Investment Banking & Brokerage
Intuitive Surgical,ISRG,Health Care,Health Care Equipment
Invesco,IVZ,Financials,Asset Management & Custody Banks
Invitation Homes,INVH,Real Estate,
IPG,IPG,Communication Services,Advertising
IPG Photonics,IPGP,Information Technology,Electronic Manufacturing Services
IQVIA,IQV,Health Care,Life Sciences Tools & Services
Iron Mountain,IRM,Real Estate,Other Specialized REITs
Jacobs,J,Industrials,Construction & Engineering
Jamf,JAMF,Information Technology,
Janus Henderson,JHG,Financials,Asset Management & Custody Banks
Jazz Pharmaceuticals,JAZZ,Health Care,Pharmaceuticals
J. B. Hunt,JBHT,Industrials,Cargo Ground Transportation
JBG Smith,JBGS,Real Estate,Office REITs
Jefferies,JEF,Financials,Multi-Sector Holdings
JetBlue,JBLU,Industrials,Passenger Airlines
Johnson Controls,JCI,Industrials,Building Products
JLL,JLL,Real Estate,Real Estate Services
JPMorgan Chase,JPM,Financials,Diversified Banks
Juniper Networks,JNPR,Information Technology,Communications Equipment
Kemper,KMPR,Financials,Multi-line Insurance
Keycorp,KEY,Financials,Regional Banks
Keysight,KEYS,Information Technology,Electronic Equipment & Instruments
Kilroy Realty,KRC,Real Estate,
Kimco Realty,KIM,Real Estate,Retail REITs
Kinder Morgan,KMI,Energy,Oil & Gas Storage & Transportation
Kirby,KEX,Industrials,Marine
KKR,KKR,Financials,
Knight-Swift,KNX,Industrials,Cargo Ground Transportation
Kohl's,KSS,Consumer Discretionary,General Merchandise Stores
Kyndryl,KD,Information Technology,IT Consulting & Other Services
L3Harris,LHX,Industrials,Aerospace & Defense
Labcorp,LH,Health Care,Health Care Services
Lamar Advertising,LAMR,Real Estate,Other Specialized REITs
Lamb Weston,LW,Consumer Staples,Packaged Foods & Meats
Landstar,LSTR,Industrials,Cargo Ground Transportation
Lattice Semiconductor,LSCC,Information Technology,Semiconductors
Lazard,LAZ,Financials,
Lear,LEA,Consumer Discretionary,Automotive Parts & Equipment
Leggett & Platt,LEG,Consumer Discretionary,Home Furnishings
Leidos,LDOS,Industrials,Diversified Support Services
Lennar (Class A),LEN,Consumer Discretionary,Homebuilding
Lennar (Class B),LEN.B,Consumer Discretionary,Homebuilding
Leslie's,LESL,Consumer Discretionary,
Liberty Broadband (Series A),LBRDA,Communication Services,
Liberty Broadband (Series C),LBRDK,Communication Services,
Liberty Formula 1 (Series C),FWONK,Communication Services,
Liberty SiriusXM (Series A),LSXMA,Communication Services,
Liberty SiriusXM (Series C),LSXMK,Communication Services,
Life Storage,LSI,Real Estate,Self-Storage REITs
Lilly,LLY,Health Care,Pharmaceuticals
Lincoln Financial,LNC,Financials,Multi-line Insurance
Linde,LIN,Materials,Industrial Gases
Lithia Motors,LAD,Consumer Discretionary,Automotive Retail
Littelfuse,LFUS,Information Technology,Electronic Components
Live Nation Entertainment,LYV,Communication Services,Movies & Entertainment
Lockheed Martin,LMT,Industrials,Aerospace & Defense
Loews Corporation,L,Financials,Multi-line Insurance
Louisiana-Pacific,LPX,Materials,Forest Products
Lowe's,LOW,Consumer Discretionary,Home Improvement Retail
LPL Financial,LPLA,Financials,
Lumentum,LITE,Information Technology,
Lyft,LYFT,Industrials,Passenger Ground Transportation
LyondellBasell,LYB,Materials,Specialty Chemicals
M&T Bank,MTB,Financials,Regional Banks
Madison Square Garden Sports,MSGS,Communication Services,
ManpowerGroup,MAN,Industrials,Human Resource & Employment Services
Marathon Oil,MRO,Energy,Oil & Gas Exploration & Production
Marathon Petroleum,MPC,Energy,Oil & Gas Refining & Marketing
Maravai LifeSciences,MRVI,Health Care,
Markel,MKL,Financials,
MarketAxess,MKTX,Financials,Financial Exchanges & Data
Marriott International,MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Marriott Vacations Worldwide,VAC,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Marsh McLennan,MMC,Financials,Insurance Brokers
Masimo,MASI,Health Care,Health Care Equipment
MasterBrand,MBC,Industrials,Building Products
Match Group,MTCH,Communication Services,Interactive Media & Services
McCormick,MKC,Consumer Staples,Packaged Foods & Meats
MDU Resources,MDU,Utilities,Multi-Utilities
Medical Properties Trust,MPW,Real Estate,Health Care REITs
Mercury Systems,MRCY,Industrials,Electrical Components & Equipment
Metlife,MET,Financials,Life & Health Insurance
Mettler Toledo,MTD,Health Care,Life Sciences Tools & Services
MGM Resorts International,MGM,Consumer Discretionary,Casinos & Gaming
